Date,Open,High,Low,Close,Volume,AdjustedClose
20210122,740.000,750.000,725.000,735.000,27684000,735.000
20210125,735.000,740.000,715.000,740.000,10432200,740.000
20210126,745.000,745.000,730.000,735.000,13426700,735.000
20210127,740.000,745.000,720.000,740.000,13062800,740.000
20210128,740.000,740.000,720.000,720.000,14213300,720.000
20210129,720.000,740.000,715.000,730.000,16438600,730.000
20210201,740.000,755.000,720.000,755.000,18581100,755.000
20210202,755.000,765.000,750.000,760.000,20895600,760.000
20210203,770.000,775.000,760.000,770.000,24346400,770.000
20210204,800.000,835.000,770.000,780.000,117367500,780.000
20210205,780.000,785.000,760.000,775.000,18068000,775.000
20210208,780.000,800.000,775.000,775.000,51925800,775.000
20210209,785.000,790.000,770.000,775.000,31819600,775.000
20210210,775.000,780.000,755.000,770.000,20563100,770.000
20210211,775.000,780.000,770.000,780.000,16374600,780.000
20210215,785.000,790.000,780.000,790.000,14583800,790.000
20210216,790.000,795.000,780.000,780.000,18750900,780.000
20210217,790.000,790.000,770.000,775.000,16713800,775.000
20210218,780.000,810.000,775.000,805.000,67794900,805.000
20210219,820.000,820.000,785.000,785.000,37932000,785.000
20210222,800.000,805.000,785.000,800.000,22399200,800.000
20210223,805.000,815.000,795.000,795.000,31399600,795.000
20210224,800.000,800.000,775.000,785.000,36453700,785.000
20210225,790.000,800.000,780.000,800.000,14582300,800.000
20210226,800.000,800.000,780.000,795.000,11682000,795.000
20210301,795.000,795.000,775.000,785.000,9442400,785.000
20210302,795.000,800.000,785.000,795.000,13032300,795.000
20210303,795.000,800.000,790.000,800.000,9049000,800.000
20210304,800.000,800.000,790.000,800.000,16473700,800.000
20210305,800.000,800.000,785.000,790.000,11457500,790.000
20210308,800.000,800.000,780.000,785.000,8946600,785.000
20210309,785.000,790.000,780.000,785.000,8091900,785.000
20210310,785.000,790.000,775.000,780.000,9340700,780.000
20210312,785.000,790.000,780.000,785.000,4740700,785.000
20210315,785.000,795.000,780.000,785.000,7408800,785.000
20210316,785.000,790.000,775.000,780.000,9572000,780.000
20210317,780.000,790.000,775.000,790.000,7313200,790.000
20210318,790.000,795.000,785.000,790.000,10342100,790.000
20210319,790.000,795.000,785.000,795.000,9702100,795.000
20210322,795.000,795.000,780.000,780.000,8445100,780.000
20210323,785.000,790.000,775.000,780.000,10854900,780.000
20210324,780.000,785.000,765.000,765.000,38065700,765.000
20210325,765.000,775.000,765.000,770.000,5149500,770.000
20210326,770.000,780.000,770.000,780.000,6419500,780.000
20210329,780.000,785.000,775.000,780.000,5970200,780.000
20210330,785.000,785.000,770.000,785.000,7669600,785.000
20210331,785.000,785.000,765.000,785.000,13374500,785.000
20210401,785.000,785.000,775.000,780.000,6270700,780.000
20210405,785.000,790.000,775.000,790.000,9192000,790.000
20210406,790.000,795.000,780.000,790.000,22271400,790.000
20210407,790.000,790.000,780.000,780.000,14318200,780.000
20210408,785.000,795.000,780.000,785.000,16127600,785.000
20210409,785.000,790.000,785.000,790.000,19673800,790.000
20210412,790.000,790.000,765.000,770.000,21912400,770.000
20210413,775.000,780.000,755.000,760.000,5937700,760.000
20210414,770.000,775.000,760.000,770.000,12270000,770.000
20210415,775.000,785.000,765.000,785.000,21195100,785.000
20210416,785.000,785.000,775.000,785.000,16297100,785.000
20210419,790.000,800.000,780.000,800.000,22871600,800.000
20210420,795.000,800.000,785.000,785.000,11761800,785.000
20210421,780.000,795.000,780.000,785.000,9503300,785.000
20210422,790.000,795.000,785.000,795.000,11956700,795.000
20210423,820.000,820.000,790.000,800.000,8818900,800.000
20210426,800.000,805.000,795.000,800.000,19519900,800.000
20210427,810.000,810.000,795.000,805.000,11519300,805.000
20210428,805.000,815.000,805.000,815.000,17918700,815.000
20210429,810.000,815.000,800.000,805.000,21382300,805.000
20210430,805.000,810.000,795.000,795.000,9461700,795.000
